timestamp,speed,acceleration,longitudinal_accel,lateral_accel,longitudinal_jerk,lateral_jerk,lead_detected,lead_distance,target_speed
1773666208.376919,8.0730,-0.0660,-0.0220,0.0188,-0.2231,0.0406,False,nan,8.0000
1773666208.477093,8.2868,-0.2157,-0.0280,0.0248,-0.0607,0.0601,False,nan,8.0000
1773666208.577030,8.0896,-0.0653,-0.0325,0.0318,-0.0442,0.0700,False,nan,8.0000
1773666208.676571,7.8797,0.0463,-0.0156,0.0298,0.1690,-0.0199,False,nan,8.0000
1773666208.776342,7.8187,0.0466,-0.0052,0.0259,0.1049,-0.0396,False,nan,8.0000
1773666208.876587,8.2223,-0.0930,0.0015,0.0185,0.0662,-0.0734,False,nan,8.0000
1773666208.976896,7.9408,-0.0910,-0.0147,0.0187,-0.1613,0.0020,False,nan,8.0000
1773666209.077225,7.9824,0.0588,-0.0085,0.0217,0.0618,0.0303,False,nan,8.0000
1773666209.176441,8.1336,0.0605,0.0060,0.0140,0.1459,-0.0782,False,nan,8.0000
1773666209.276464,8.0152,0.1232,0.0030,0.0103,-0.0293,-0.0365,False,nan,8.0000
1773666209.377605,7.9973,0.1791,0.0207,0.0108,0.1744,0.0044,False,nan,8.0000
1773666209.477235,8.0412,0.0593,0.0360,0.0085,0.1543,-0.0227,False,nan,8.0000
1773666209.576478,8.1095,-0.0916,0.0413,0.0022,0.0527,-0.0639,False,nan,8.0000
1773666209.676847,8.0378,0.0572,0.0299,-0.0011,-0.1132,-0.0324,False,nan,8.0000
1773666209.776907,7.9771,0.0905,0.0342,0.0022,0.0430,0.0322,False,nan,8.0000
1773666209.877062,7.9582,0.0906,0.0464,-0.0067,0.1221,-0.0881,False,nan,8.0000
1773666209.977046,8.0294,0.0914,0.0498,0.0096,0.0332,0.1630,False,nan,8.0000
1773666210.076788,8.2326,0.0906,0.0621,0.0134,0.1241,0.0375,False,nan,8.0000
1773666210.177053,8.2590,-0.0123,0.0506,0.0035,-0.1154,-0.0981,False,nan,8.0000
1773666210.276449,8.1932,-0.0128,0.0712,0.0028,0.2079,-0.0074,False,nan,8.0000
1773666210.377106,8.1879,-0.1625,0.0533,-0.0000,-0.1783,-0.0278,False,nan,8.0000
1773666210.476353,8.0623,-0.0121,0.0371,0.0019,-0.1625,0.0195,False,nan,8.0000
1773666210.579433,8.3053,0.0628,0.0368,0.0093,-0.0030,0.0713,False,nan,8.0000
1773666210.677254,8.0133,0.1377,0.0463,0.0189,0.0969,0.0981,False,nan,8.0000
1773666210.776336,8.0870,-0.0127,0.0537,0.0264,0.0750,0.0761,False,nan,8.0000
